CMDLINE .\electron-counter-app.exe
CHLD 2 70.007812 1660495420.0936
MEM 310.242188 1660495420.2052
CHLD 0 127.027344 1660495420.2092
CHLD 1 40.832031 1660495420.2092
CHLD 2 70.011719 1660495420.2092
MEM 310.230469 1660495420.3226
CHLD 0 127.003906 1660495420.3256
CHLD 1 40.832031 1660495420.3256
CHLD 2 70.023438 1660495420.3256
MEM 310.250000 1660495420.4330
CHLD 0 127.007812 1660495420.4370
CHLD 1 40.832031 1660495420.4370
CHLD 2 70.039062 1660495420.4370
MEM 310.253906 1660495420.5464
CHLD 0 127.007812 1660495420.5504
CHLD 1 40.832031 1660495420.5504
CHLD 2 70.042969 1660495420.5504
MEM 310.308594 1660495420.6668
CHLD 0 127.011719 1660495420.6697
CHLD 1 40.832031 1660495420.6697
CHLD 2 70.093750 1660495420.6697
MEM 310.441406 1660495420.7798
CHLD 0 127.011719 1660495420.7838
CHLD 1 40.832031 1660495420.7838
CHLD 2 70.226562 1660495420.7838
MEM 310.253906 1660495420.9020
CHLD 0 127.011719 1660495420.9060
CHLD 1 40.832031 1660495420.9060
CHLD 2 70.285156 1660495420.9060
MEM 310.281250 1660495421.0159
CHLD 0 127.011719 1660495421.0199
CHLD 1 40.832031 1660495421.0199
CHLD 2 70.312500 1660495421.0199
MEM 309.699219 1660495421.1393
CHLD 0 127.007812 1660495421.1433
CHLD 1 40.832031 1660495421.1433
CHLD 2 70.320312 1660495421.1433
MEM 309.714844 1660495421.2567
CHLD 0 127.003906 1660495421.2597
CHLD 1 40.832031 1660495421.2597
CHLD 2 70.339844 1660495421.2597
MEM 309.699219 1660495421.3697
CHLD 0 126.996094 1660495421.3737
CHLD 1 40.832031 1660495421.3737
CHLD 2 70.339844 1660495421.3737
MEM 309.703125 1660495421.4949
CHLD 0 126.996094 1660495421.4989
CHLD 1 40.832031 1660495421.4989
CHLD 2 70.343750 1660495421.4989
MEM 309.707031 1660495421.6127
CHLD 0 126.980469 1660495421.6166
CHLD 1 40.832031 1660495421.6166
CHLD 2 70.363281 1660495421.6166
MEM 308.890625 1660495421.7271
CHLD 0 126.980469 1660495421.7301
CHLD 1 40.925781 1660495421.7301
CHLD 2 70.363281 1660495421.7301
MEM 306.523438 1660495421.8485
CHLD 0 126.855469 1660495421.8525
CHLD 1 40.925781 1660495421.8525
CHLD 2 68.121094 1660495421.8525
MEM 306.531250 1660495421.9724
CHLD 0 126.855469 1660495421.9766
CHLD 1 40.925781 1660495421.9766
CHLD 2 68.148438 1660495421.9766
MEM 306.554688 1660495422.0985
CHLD 0 126.855469 1660495422.1025
CHLD 1 40.925781 1660495422.1025
CHLD 2 68.152344 1660495422.1025
MEM 306.570312 1660495422.2235
CHLD 0 126.855469 1660495422.2275
CHLD 1 40.925781 1660495422.2275
CHLD 2 68.164062 1660495422.2275
MEM 306.589844 1660495422.3412
CHLD 0 126.855469 1660495422.3448
CHLD 1 40.925781 1660495422.3448
CHLD 2 68.183594 1660495422.3448
MEM 305.500000 1660495422.4500
CHLD 0 126.855469 1660495422.4530
CHLD 1 40.925781 1660495422.4530
CHLD 2 67.093750 1660495422.4530
MEM 305.515625 1660495422.5775
CHLD 0 126.855469 1660495422.5815
CHLD 1 40.925781 1660495422.5815
CHLD 2 67.109375 1660495422.5815
MEM 305.523438 1660495422.6964
CHLD 0 126.855469 1660495422.6994
CHLD 1 40.925781 1660495422.6994
CHLD 2 67.117188 1660495422.6994
MEM 305.613281 1660495422.8211
CHLD 0 126.867188 1660495422.8241
CHLD 1 40.925781 1660495422.8241
CHLD 2 67.191406 1660495422.8241
MEM 305.664062 1660495422.9458
CHLD 0 126.878906 1660495422.9499
CHLD 1 40.925781 1660495422.9499
CHLD 2 67.230469 1660495422.9499
MEM 305.714844 1660495423.0673
CHLD 0 126.882812 1660495423.0713
CHLD 1 40.925781 1660495423.0713
CHLD 2 67.269531 1660495423.0713
MEM 305.750000 1660495423.1815
CHLD 0 126.886719 1660495423.1865
CHLD 1 40.925781 1660495423.1865
CHLD 2 67.296875 1660495423.1865
MEM 305.792969 1660495423.3008
CHLD 0 126.890625 1660495423.3038
CHLD 1 40.925781 1660495423.3038
CHLD 2 67.332031 1660495423.3038
MEM 305.792969 1660495423.4275
CHLD 0 126.890625 1660495423.4315
CHLD 1 40.925781 1660495423.4315
CHLD 2 67.332031 1660495423.4315
MEM 305.804688 1660495423.5486
CHLD 0 126.894531 1660495423.5516
CHLD 1 40.925781 1660495423.5516
CHLD 2 67.339844 1660495423.5516
MEM 305.847656 1660495423.6570
CHLD 0 126.914062 1660495423.6600
CHLD 1 40.925781 1660495423.6600
CHLD 2 67.359375 1660495423.6600
MEM 305.851562 1660495423.7707
CHLD 0 126.914062 1660495423.7747
CHLD 1 40.925781 1660495423.7747
CHLD 2 67.363281 1660495423.7747
MEM 305.859375 1660495423.8949
CHLD 0 126.917969 1660495423.8989
CHLD 1 40.925781 1660495423.8989
CHLD 2 67.367188 1660495423.8989
MEM 305.859375 1660495424.0156
CHLD 0 126.917969 1660495424.0186
CHLD 1 40.925781 1660495424.0186
CHLD 2 67.367188 1660495424.0186
MEM 305.859375 1660495424.1393
CHLD 0 126.917969 1660495424.1453
CHLD 1 40.925781 1660495424.1453
CHLD 2 67.367188 1660495424.1453
MEM 305.859375 1660495424.2665
CHLD 0 126.917969 1660495424.2715
CHLD 1 40.925781 1660495424.2715
CHLD 2 67.367188 1660495424.2715
MEM 305.859375 1660495424.3927
CHLD 0 126.917969 1660495424.3977
CHLD 1 40.925781 1660495424.3977
CHLD 2 67.367188 1660495424.3977
MEM 305.859375 1660495424.5158
CHLD 0 126.917969 1660495424.5198
CHLD 1 40.925781 1660495424.5198
CHLD 2 67.367188 1660495424.5198
MEM 305.859375 1660495424.6404
CHLD 0 126.917969 1660495424.6455
CHLD 1 40.925781 1660495424.6455
CHLD 2 67.367188 1660495424.6455
MEM 305.859375 1660495424.7639
CHLD 0 126.917969 1660495424.7679
CHLD 1 40.925781 1660495424.7679
CHLD 2 67.367188 1660495424.7679
MEM 305.136719 1660495424.8837
CHLD 0 126.429688 1660495424.8877
CHLD 1 40.925781 1660495424.8877
CHLD 2 67.398438 1660495424.8877
MEM 305.253906 1660495424.9938
CHLD 0 126.429688 1660495424.9978
CHLD 1 40.925781 1660495424.9978
CHLD 2 67.496094 1660495424.9978
MEM 305.277344 1660495425.1025
CHLD 0 126.429688 1660495425.1057
CHLD 1 40.925781 1660495425.1057
CHLD 2 67.515625 1660495425.1057
MEM 305.367188 1660495425.2181
CHLD 0 126.429688 1660495425.2211
CHLD 1 40.925781 1660495425.2211
CHLD 2 67.605469 1660495425.2211
MEM 305.398438 1660495425.3397
CHLD 0 126.429688 1660495425.3427
CHLD 1 40.925781 1660495425.3427
CHLD 2 67.636719 1660495425.3427
MEM 305.445312 1660495425.4534
CHLD 0 126.429688 1660495425.4563
CHLD 1 40.925781 1660495425.4563
CHLD 2 67.683594 1660495425.4563
MEM 297.628906 1660495425.5751
CHLD 0 118.597656 1660495425.5801
CHLD 1 40.925781 1660495425.5801
CHLD 2 67.699219 1660495425.5801
MEM 297.597656 1660495425.6996
CHLD 0 118.601562 1660495425.7040
CHLD 1 40.882812 1660495425.7040
CHLD 2 67.695312 1660495425.7040
MEM 297.207031 1660495425.8278
CHLD 0 118.574219 1660495425.8318
CHLD 1 40.882812 1660495425.8318
CHLD 2 67.339844 1660495425.8318
MEM 297.222656 1660495425.9498
CHLD 0 118.578125 1660495425.9528
CHLD 1 40.882812 1660495425.9528
CHLD 2 67.351562 1660495425.9528
MEM 297.230469 1660495426.0720
CHLD 0 118.578125 1660495426.0750
CHLD 1 40.882812 1660495426.0750
CHLD 2 67.359375 1660495426.0750
MEM 297.292969 1660495426.1830
CHLD 0 118.640625 1660495426.1850
CHLD 1 40.882812 1660495426.1850
CHLD 2 67.359375 1660495426.1859
MEM 297.320312 1660495426.3082
CHLD 0 118.644531 1660495426.3122
CHLD 1 40.882812 1660495426.3122
CHLD 2 67.378906 1660495426.3122
MEM 297.324219 1660495426.4329
CHLD 0 118.644531 1660495426.4369
CHLD 1 40.882812 1660495426.4369
CHLD 2 67.382812 1660495426.4369
MEM 297.343750 1660495426.5585
CHLD 0 118.644531 1660495426.5635
CHLD 1 40.882812 1660495426.5635
CHLD 2 67.402344 1660495426.5635
MEM 297.363281 1660495426.6768
CHLD 0 118.644531 1660495426.6808
CHLD 1 40.882812 1660495426.6808
CHLD 2 67.421875 1660495426.6808
MEM 297.363281 1660495426.7905
CHLD 0 118.644531 1660495426.7945
CHLD 1 40.882812 1660495426.7955
CHLD 2 67.421875 1660495426.7955
MEM 297.375000 1660495426.9111
CHLD 0 118.644531 1660495426.9141
CHLD 1 40.882812 1660495426.9141
CHLD 2 67.429688 1660495426.9141
MEM 297.375000 1660495427.0321
CHLD 0 118.644531 1660495427.0351
CHLD 1 40.882812 1660495427.0351
CHLD 2 67.429688 1660495427.0351
MEM 297.375000 1660495427.1470
CHLD 0 118.644531 1660495427.1520
CHLD 1 40.882812 1660495427.1520
CHLD 2 67.429688 1660495427.1520
MEM 297.375000 1660495427.2675
CHLD 0 118.644531 1660495427.2705
CHLD 1 40.882812 1660495427.2705
CHLD 2 67.429688 1660495427.2705
MEM 297.429688 1660495427.3960
CHLD 0 118.644531 1660495427.4000
CHLD 1 40.882812 1660495427.4000
CHLD 2 67.484375 1660495427.4000
MEM 297.472656 1660495427.5208
CHLD 0 118.644531 1660495427.5258
CHLD 1 40.882812 1660495427.5258
CHLD 2 67.527344 1660495427.5258
MEM 297.472656 1660495427.6451
CHLD 0 118.644531 1660495427.6501
CHLD 1 40.882812 1660495427.6501
CHLD 2 67.527344 1660495427.6501
MEM 297.472656 1660495427.7703
CHLD 0 118.644531 1660495427.7743
CHLD 1 40.882812 1660495427.7743
CHLD 2 67.527344 1660495427.7743
MEM 297.472656 1660495427.8916
CHLD 0 118.644531 1660495427.8946
CHLD 1 40.882812 1660495427.8946
CHLD 2 67.527344 1660495427.8946
MEM 297.472656 1660495428.0028
CHLD 0 118.644531 1660495428.0058
CHLD 1 40.882812 1660495428.0058
CHLD 2 67.527344 1660495428.0058
MEM 297.472656 1660495428.1256
CHLD 0 118.644531 1660495428.1286
CHLD 1 40.882812 1660495428.1286
CHLD 2 67.527344 1660495428.1286
MEM 297.472656 1660495428.2539
CHLD 0 118.644531 1660495428.2588
CHLD 1 40.882812 1660495428.2588
CHLD 2 67.527344 1660495428.2588
MEM 297.472656 1660495428.3747
CHLD 0 118.644531 1660495428.3777
CHLD 1 40.882812 1660495428.3777
CHLD 2 67.527344 1660495428.3777
MEM 297.472656 1660495428.4881
CHLD 0 118.644531 1660495428.4931
CHLD 1 40.882812 1660495428.4931
CHLD 2 67.527344 1660495428.4931
MEM 297.472656 1660495428.6132
CHLD 0 118.644531 1660495428.6172
CHLD 1 40.882812 1660495428.6172
CHLD 2 67.527344 1660495428.6172
MEM 297.472656 1660495428.7321
CHLD 0 118.644531 1660495428.7351
CHLD 1 40.882812 1660495428.7351
CHLD 2 67.527344 1660495428.7351
MEM 296.175781 1660495428.8603
CHLD 0 117.996094 1660495428.8653
CHLD 1 40.882812 1660495428.8653
CHLD 2 66.878906 1660495428.8653
MEM 296.175781 1660495428.9796
CHLD 0 117.996094 1660495428.9826
CHLD 1 40.882812 1660495428.9826
CHLD 2 66.878906 1660495428.9826
MEM 296.175781 1660495429.0928
CHLD 0 117.996094 1660495429.0968
CHLD 1 40.882812 1660495429.0968
CHLD 2 66.878906 1660495429.0968
MEM 296.175781 1660495429.2177
CHLD 0 117.996094 1660495429.2217
CHLD 1 40.882812 1660495429.2217
CHLD 2 66.878906 1660495429.2217
MEM 288.175781 1660495429.3394
CHLD 0 109.996094 1660495429.3434
CHLD 1 40.882812 1660495429.3434
CHLD 2 66.878906 1660495429.3434
MEM 288.175781 1660495429.4623
CHLD 0 109.996094 1660495429.4653
CHLD 1 40.882812 1660495429.4653
CHLD 2 66.878906 1660495429.4653
MEM 288.175781 1660495429.5895
CHLD 0 109.996094 1660495429.5935
CHLD 1 40.882812 1660495429.5935
CHLD 2 66.878906 1660495429.5935
MEM 288.175781 1660495429.7147
CHLD 0 109.996094 1660495429.7197
CHLD 1 40.882812 1660495429.7197
CHLD 2 66.878906 1660495429.7197
MEM 287.921875 1660495429.8378
CHLD 0 109.742188 1660495429.8398
CHLD 1 40.882812 1660495429.8398
CHLD 2 66.878906 1660495429.8398
MEM 287.921875 1660495429.9658
CHLD 0 109.742188 1660495429.9702
CHLD 1 40.882812 1660495429.9702
CHLD 2 66.878906 1660495429.9702
MEM 287.921875 1660495430.0862
CHLD 0 109.742188 1660495430.0892
CHLD 1 40.882812 1660495430.0892
CHLD 2 66.878906 1660495430.0892
MEM 287.921875 1660495430.2136
CHLD 0 109.742188 1660495430.2176
CHLD 1 40.882812 1660495430.2176
CHLD 2 66.878906 1660495430.2176
MEM 287.921875 1660495430.3395
CHLD 0 109.742188 1660495430.3445
CHLD 1 40.882812 1660495430.3445
CHLD 2 66.878906 1660495430.3445
MEM 287.921875 1660495430.4632
CHLD 0 109.742188 1660495430.4672
CHLD 1 40.882812 1660495430.4672
CHLD 2 66.878906 1660495430.4672
MEM 287.921875 1660495430.5835
CHLD 0 109.742188 1660495430.5865
CHLD 1 40.882812 1660495430.5865
CHLD 2 66.878906 1660495430.5865
MEM 287.921875 1660495430.7101
CHLD 0 109.742188 1660495430.7151
CHLD 1 40.882812 1660495430.7151
CHLD 2 66.878906 1660495430.7151
MEM 287.921875 1660495430.8341
CHLD 0 109.742188 1660495430.8381
CHLD 1 40.882812 1660495430.8381
CHLD 2 66.878906 1660495430.8381
MEM 287.921875 1660495430.9565
CHLD 0 109.742188 1660495430.9595
CHLD 1 40.882812 1660495430.9595
CHLD 2 66.878906 1660495430.9595
MEM 287.921875 1660495431.0743
CHLD 0 109.742188 1660495431.0783
CHLD 1 40.882812 1660495431.0783
CHLD 2 66.878906 1660495431.0783
MEM 287.921875 1660495431.1986
CHLD 0 109.742188 1660495431.2026
CHLD 1 40.882812 1660495431.2026
CHLD 2 66.878906 1660495431.2026
MEM 287.921875 1660495431.3219
CHLD 0 109.742188 1660495431.3259
CHLD 1 40.882812 1660495431.3259
CHLD 2 66.878906 1660495431.3259
MEM 287.921875 1660495431.4473
CHLD 0 109.742188 1660495431.4513
CHLD 1 40.882812 1660495431.4513
CHLD 2 66.878906 1660495431.4513
MEM 287.921875 1660495431.5676
CHLD 0 109.742188 1660495431.5706
CHLD 1 40.882812 1660495431.5706
CHLD 2 66.878906 1660495431.5706
MEM 287.921875 1660495431.6818
CHLD 0 109.742188 1660495431.6858
CHLD 1 40.882812 1660495431.6858
CHLD 2 66.878906 1660495431.6858
MEM 287.921875 1660495431.8013
CHLD 0 109.742188 1660495431.8043
CHLD 1 40.882812 1660495431.8043
CHLD 2 66.878906 1660495431.8043
MEM 287.921875 1660495431.9280
CHLD 0 109.742188 1660495431.9330
CHLD 1 40.882812 1660495431.9330
CHLD 2 66.878906 1660495431.9330
MEM 287.921875 1660495432.0484
CHLD 0 109.742188 1660495432.0514
CHLD 1 40.882812 1660495432.0514
CHLD 2 66.878906 1660495432.0514
MEM 287.921875 1660495432.1754
CHLD 0 109.742188 1660495432.1804
CHLD 1 40.882812 1660495432.1804
CHLD 2 66.878906 1660495432.1804
MEM 287.921875 1660495432.2968
CHLD 0 109.742188 1660495432.2998
CHLD 1 40.882812 1660495432.2998
CHLD 2 66.878906 1660495432.2998
MEM 287.921875 1660495432.4193
CHLD 0 109.742188 1660495432.4223
CHLD 1 40.882812 1660495432.4223
CHLD 2 66.878906 1660495432.4223
MEM 287.921875 1660495432.5295
CHLD 0 109.742188 1660495432.5325
CHLD 1 40.882812 1660495432.5325
CHLD 2 66.878906 1660495432.5325
MEM 287.921875 1660495432.6571
CHLD 0 109.742188 1660495432.6611
CHLD 1 40.882812 1660495432.6611
CHLD 2 66.878906 1660495432.6611
MEM 287.921875 1660495432.7839
CHLD 0 109.742188 1660495432.7879
CHLD 1 40.882812 1660495432.7879
CHLD 2 66.878906 1660495432.7879
MEM 287.921875 1660495432.9075
CHLD 0 109.742188 1660495432.9115
CHLD 1 40.882812 1660495432.9115
CHLD 2 66.878906 1660495432.9115
MEM 287.921875 1660495433.0294
CHLD 0 109.742188 1660495433.0324
CHLD 1 40.882812 1660495433.0324
CHLD 2 66.878906 1660495433.0324
MEM 287.921875 1660495433.1424
CHLD 0 109.742188 1660495433.1464
CHLD 1 40.882812 1660495433.1464
CHLD 2 66.878906 1660495433.1464
MEM 287.921875 1660495433.2659
CHLD 0 109.742188 1660495433.2699
CHLD 1 40.882812 1660495433.2699
CHLD 2 66.878906 1660495433.2699
MEM 287.921875 1660495433.3865
CHLD 0 109.742188 1660495433.3895
CHLD 1 40.882812 1660495433.3895
CHLD 2 66.878906 1660495433.3895
MEM 287.921875 1660495433.5105
CHLD 0 109.742188 1660495433.5135
CHLD 1 40.882812 1660495433.5135
CHLD 2 66.878906 1660495433.5135
MEM 287.921875 1660495433.6377
CHLD 0 109.742188 1660495433.6417
CHLD 1 40.882812 1660495433.6417
CHLD 2 66.878906 1660495433.6417
MEM 287.921875 1660495433.7607
CHLD 0 109.742188 1660495433.7637
