CMDLINE .\tauri-counter-app.exe
CHLD 2 83.632812 1660495622.1997
CHLD 3 25.714844 1660495622.1997
CHLD 4 18.191406 1660495622.1997
CHLD 5 62.683594 1660495622.1997
CHLD 6 17.402344 1660495622.1997
MEM 331.417969 1660495622.3060
CHLD 0 97.050781 1660495622.3100
CHLD 1 7.484375 1660495622.3100
CHLD 2 83.636719 1660495622.3100
CHLD 3 25.714844 1660495622.3100
CHLD 4 18.191406 1660495622.3100
CHLD 5 62.742188 1660495622.3100
CHLD 6 17.402344 1660495622.3100
MEM 331.320312 1660495622.4198
CHLD 0 97.050781 1660495622.4228
CHLD 1 7.484375 1660495622.4228
CHLD 2 83.636719 1660495622.4228
CHLD 3 25.625000 1660495622.4228
CHLD 4 18.167969 1660495622.4228
CHLD 5 62.757812 1660495622.4228
CHLD 6 17.402344 1660495622.4228
MEM 331.289062 1660495622.5450
CHLD 0 97.011719 1660495622.5490
CHLD 1 7.484375 1660495622.5490
CHLD 2 83.644531 1660495622.5490
CHLD 3 25.625000 1660495622.5490
CHLD 4 18.167969 1660495622.5490
CHLD 5 62.757812 1660495622.5490
CHLD 6 17.402344 1660495622.5490
MEM 331.316406 1660495622.6685
CHLD 0 97.011719 1660495622.6725
CHLD 1 7.484375 1660495622.6725
CHLD 2 83.644531 1660495622.6725
CHLD 3 25.625000 1660495622.6725
CHLD 4 18.167969 1660495622.6725
CHLD 5 62.757812 1660495622.6725
CHLD 6 17.429688 1660495622.6725
MEM 331.316406 1660495622.7926
CHLD 0 97.011719 1660495622.7976
CHLD 1 7.484375 1660495622.7976
CHLD 2 83.644531 1660495622.7976
CHLD 3 25.625000 1660495622.7976
CHLD 4 18.167969 1660495622.7976
CHLD 5 62.757812 1660495622.7976
CHLD 6 17.429688 1660495622.7976
MEM 331.316406 1660495622.9184
CHLD 0 97.011719 1660495622.9224
CHLD 1 7.484375 1660495622.9224
CHLD 2 83.644531 1660495622.9224
CHLD 3 25.625000 1660495622.9224
CHLD 4 18.167969 1660495622.9224
CHLD 5 62.757812 1660495622.9224
CHLD 6 17.429688 1660495622.9224
MEM 331.316406 1660495623.0416
CHLD 0 97.011719 1660495623.0456
CHLD 1 7.484375 1660495623.0456
CHLD 2 83.644531 1660495623.0456
CHLD 3 25.625000 1660495623.0456
CHLD 4 18.167969 1660495623.0456
CHLD 5 62.757812 1660495623.0456
CHLD 6 17.429688 1660495623.0456
MEM 331.316406 1660495623.1670
CHLD 0 97.011719 1660495623.1710
CHLD 1 7.484375 1660495623.1710
CHLD 2 83.644531 1660495623.1710
CHLD 3 25.625000 1660495623.1710
CHLD 4 18.167969 1660495623.1710
CHLD 5 62.757812 1660495623.1710
CHLD 6 17.429688 1660495623.1710
MEM 331.316406 1660495623.2901
CHLD 0 97.011719 1660495623.2941
CHLD 1 7.484375 1660495623.2941
CHLD 2 83.644531 1660495623.2941
CHLD 3 25.625000 1660495623.2941
CHLD 4 18.167969 1660495623.2941
CHLD 5 62.757812 1660495623.2941
CHLD 6 17.429688 1660495623.2941
MEM 331.324219 1660495623.4156
CHLD 0 97.011719 1660495623.4196
CHLD 1 7.484375 1660495623.4196
CHLD 2 83.644531 1660495623.4196
CHLD 3 25.632812 1660495623.4196
CHLD 4 18.167969 1660495623.4196
CHLD 5 62.757812 1660495623.4196
CHLD 6 17.429688 1660495623.4196
MEM 331.390625 1660495623.5411
CHLD 0 97.003906 1660495623.5451
CHLD 1 7.484375 1660495623.5451
CHLD 2 83.695312 1660495623.5451
CHLD 3 25.632812 1660495623.5451
CHLD 4 18.167969 1660495623.5451
CHLD 5 62.781250 1660495623.5451
CHLD 6 17.429688 1660495623.5451
MEM 330.902344 1660495623.6654
CHLD 0 97.003906 1660495623.6694
CHLD 1 7.484375 1660495623.6694
CHLD 2 83.714844 1660495623.6694
CHLD 3 25.632812 1660495623.6694
CHLD 4 18.167969 1660495623.6694
CHLD 5 62.273438 1660495623.6694
CHLD 6 17.429688 1660495623.6694
MEM 330.902344 1660495623.7898
CHLD 0 97.003906 1660495623.7938
CHLD 1 7.484375 1660495623.7938
CHLD 2 83.714844 1660495623.7938
CHLD 3 25.632812 1660495623.7938
CHLD 4 18.167969 1660495623.7938
CHLD 5 62.273438 1660495623.7938
CHLD 6 17.429688 1660495623.7938
MEM 330.902344 1660495623.9128
CHLD 0 97.003906 1660495623.9168
CHLD 1 7.484375 1660495623.9168
CHLD 2 83.714844 1660495623.9168
CHLD 3 25.632812 1660495623.9168
CHLD 4 18.167969 1660495623.9168
CHLD 5 62.273438 1660495623.9168
CHLD 6 17.429688 1660495623.9168
MEM 330.902344 1660495624.0368
CHLD 0 97.003906 1660495624.0408
CHLD 1 7.484375 1660495624.0408
CHLD 2 83.714844 1660495624.0408
CHLD 3 25.632812 1660495624.0408
CHLD 4 18.167969 1660495624.0408
CHLD 5 62.273438 1660495624.0408
CHLD 6 17.429688 1660495624.0408
MEM 330.902344 1660495624.1621
CHLD 0 97.003906 1660495624.1661
CHLD 1 7.484375 1660495624.1661
CHLD 2 83.714844 1660495624.1661
CHLD 3 25.632812 1660495624.1661
CHLD 4 18.167969 1660495624.1661
CHLD 5 62.273438 1660495624.1661
CHLD 6 17.429688 1660495624.1661
MEM 330.902344 1660495624.2859
CHLD 0 97.003906 1660495624.2899
CHLD 1 7.484375 1660495624.2899
CHLD 2 83.714844 1660495624.2899
CHLD 3 25.632812 1660495624.2899
CHLD 4 18.167969 1660495624.2899
CHLD 5 62.273438 1660495624.2899
CHLD 6 17.429688 1660495624.2899
MEM 330.906250 1660495624.4085
CHLD 0 97.085938 1660495624.4125
CHLD 1 7.484375 1660495624.4125
CHLD 2 83.714844 1660495624.4125
CHLD 3 25.632812 1660495624.4125
CHLD 4 18.171875 1660495624.4125
CHLD 5 62.734375 1660495624.4125
CHLD 6 17.429688 1660495624.4125
MEM 331.722656 1660495624.5341
CHLD 0 97.085938 1660495624.5381
CHLD 1 7.484375 1660495624.5391
CHLD 2 83.886719 1660495624.5391
CHLD 3 25.632812 1660495624.5391
CHLD 4 18.171875 1660495624.5391
CHLD 5 62.832031 1660495624.5391
CHLD 6 17.429688 1660495624.5391
MEM 331.863281 1660495624.6576
CHLD 0 97.085938 1660495624.6606
CHLD 1 7.484375 1660495624.6606
CHLD 2 84.085938 1660495624.6606
CHLD 3 25.632812 1660495624.6606
CHLD 4 18.171875 1660495624.6606
CHLD 5 62.878906 1660495624.6606
CHLD 6 17.324219 1660495624.6606
MEM 331.890625 1660495624.7823
CHLD 0 97.089844 1660495624.7863
CHLD 1 7.484375 1660495624.7863
CHLD 2 84.085938 1660495624.7863
CHLD 3 25.632812 1660495624.7863
CHLD 4 18.171875 1660495624.7863
CHLD 5 62.902344 1660495624.7863
CHLD 6 17.324219 1660495624.7863
MEM 331.949219 1660495624.9002
CHLD 0 97.089844 1660495624.9032
CHLD 1 7.484375 1660495624.9032
CHLD 2 84.089844 1660495624.9032
CHLD 3 25.632812 1660495624.9032
